Previous name,Current Name,Appeared,Reason of blocking,Reasons of blocking
,{{anonblock}},2005,,
,{{schoolblock}},2005,,
,{{subst:uw-3block}},2007,Three revert rule valation block,
,{{subst:uw-ablock}},2007,Anonymous users block,
,{{subst:Uw-acpblock}},2020,Account creation block,
advert5,{{subst:uw-adblock}},2008,Advertising block,
,{{subst:uw-adminublock}},2005,Admin username block (Good-faith) (use of a 'sysop' username),
,{{subst:uw-adminuhblock}},2005,Admin username block(No-/bad-faith) (use of a 'sysop' username and vandalism or disruption-only account),
arbcom,{{subst:uw-aeblock}},2005,Arbitration enforcement block,
,{{subst:Uw-aepblock}},2020,Arbitration enforcement partial block,
blp3,{{subst:uw-bioblock}},2010,Biographies-of-living-persons block,
"test5, block",{{subst:uw-block}},2007,User block,
test5i,{{subst:uw-blockindef}},2007,Indefinite User block,
,{{subst:uw-blockindefnotalk}},2010,Reducting the access to talk page blocks ,
,{{subst:uw-blocknotalk}},2010,Reducing the pacces to edit own talk page block,
,{{subst:uw-botblock}},2006,Unapproved bot block,
,{{subst:uw-botublock}},2005,Bot username block,
,{{subst:uw-botuhblock}},2005,Bot username block and vandalism or disruption-only account,
,{{subst:uw-causeblock}},2005,Cause block (username violation and edits promoting a cause) (Good-faith),
,{{subst:uw-compblock}},2005,Possible compromised account block,
,{{subst:uw-copyrightblock}},2010,Copyright violation block,
,{{subst:uw-csblock}},2005,Community general sanctions block,
,{{subst:uw-cserblock}},2008,Personal editing restrictions block,
blank5,{{subst:uw-dblock}},2007,Content deletion block,
,{{subst:uw-deoablock}},2005,Disruption / trolling on only accounts block,
,{{subst:uw-disruptblock}},2011,Disruptive editing block,
,{{subst:uw-efblock}},2009,Edit filter block,
,{{subst:uw-epblock}},2020,Email block,
,{{subst:uw-ewblock}},2008,Edit warring block,
,{{subst:Uw-ewpblock}},2020,Edit warring partial block,
,{{subst:Uw-gwblock}},2010,Genre warring block,
,{{subst:uw-hblock}},2008,Harassment block,
,{{subst:Uw-ipevadeblock}},2012,Logged-out block evasion block,
,{{subst:uw-lblock}},2007,Legal threat block,
,{{subst:uw-nfimageblock}},2009,Non-free image block,
,{{subst:uw-nothereblock}},2005,Not here to build an encyclopedia block,
,{{subst:uw-npblock}},2005,Creating nonsense pages block,
,{{subst:uw-pablock}},2005,Personal attack block,
,{{subst:Uw-pblock}},2020,Partial block,
,{{subst:Uw-pblockindef}},2020,Indefinite partial blocks,
,{{subst:uw-pinfoblock}},2010,Personal information block,
spam5,{{subst:uw-sblock}},2007,Spam block,
spam5i,{{subst:uw-soablock}},2008,Adervising and Spam on account block,
,{{subst:uw-socialmediablock}},2005,Social networking block,
,{{subst:Uw-sockblock}},2005,Sock puppetry block,
,{{subst:Uw-sockblocknotalk}},2020,Sock puppetry blocks without talk page access,
,{{subst:uw-softerblock}},2005,Promotional username block,
,{{subst:uw-spamublock}},2005,Spamming & username violation block,
,{{subst:uw-ublock-double}},2005,Possible username just similar to another user block,
,{{subst:uw-ublock-wellknown}},2005,Famous person or possible impersonation (Good-faith),
,{{subst:uw-ublock}},2004,Username block,
,{{subst:uw-ucblock}},2005,Unsourced content block,
,{{subst:uw-uhblock-double}},2005,Blatant username impersonation in bad faith block,
,{{subst:uw-uhblock}},2007,Blatant username violation (No-/bad-faith),
,{{subst:Uw-upeblock}},2020,Undisclosed paid editing and advertising block on abuse-only account (No-/bad-faith),
,{{subst:uw-vaublock}},2005,Username and vandalism-only account block ,
"test6, tpv5, uw-vblock",{{subst:uw-vblock}},2005,Vandalism block,
,{{subst:uw-voablock}},2005,Vandalism block on abuse-only account,