,year,tag,action
0,2005,advertising,9
1,2005,arbitration,74
2,2005,attack,343
3,2005,citing,1
4,2005,copyright,30
5,2005,disruptive editing,1
6,2005,edit warring,26
7,2005,evasion,103
8,2005,harassment,31
9,2005,legal threats,30
10,2005,multiple accounts,3
11,2005,no legal threats,1
12,2005,patent,2
13,2005,promotion,5
14,2005,sockpuppetry,69
15,2005,spam,659
16,2005,three-revert,24
17,2005,vandalism,9862
18,2005,{{blocked proxy}},2126
19,2006,advertising,29
20,2006,arbitration,72
21,2006,attack,1110
22,2006,biographies,1
23,2006,citing,1
24,2006,copyright,198
25,2006,disruptive editing,12
26,2006,edit warring,131
27,2006,evasion,138
28,2006,harassment,43
29,2006,legal threats,81
30,2006,long-term abuse,2
31,2006,multiple accounts,6
32,2006,no legal threats,6
33,2006,patent,4
34,2006,promotion,8
35,2006,sockpuppetry,123
36,2006,spam,1884
37,2006,three-revert,15
38,2006,vandalism,39478
39,2006,{{anonblock}},28
40,2006,{{blocked proxy}},1926
41,2006,{{school block}},89
42,2006,{{tor}},504
43,2007,advertising,249
44,2007,arbitration,151
45,2007,attack,2377
46,2007,biographies,8
47,2007,citing,7
48,2007,copyright,770
49,2007,disruptive editing,162
50,2007,edit warring,819
51,2007,evasion,604
52,2007,harassment,615
53,2007,legal threats,184
54,2007,multiple accounts,4807
55,2007,no legal threats,12
56,2007,patent,208
57,2007,promotion,738
58,2007,sockpuppetry,385
59,2007,spam,6162
60,2007,three-revert,1069
61,2007,vandalism,118169
62,2007,{{anonblock}},2494
63,2007,{{blocked proxy}},6618
64,2007,{{checkuser block}},12
65,2007,{{checkuserblock-account}},12
66,2007,{{rangeblock}},9
67,2007,{{school block}},1021
68,2007,{{tor}},683
69,2007,{{uw-ublock}},253
70,2007,{{uw-uhblock}},19
71,2008,advertising,68
72,2008,arbitration,167
73,2008,attack,3031
74,2008,biographies,6
75,2008,citing,3
76,2008,copyright,305
77,2008,disruptive editing,3671
78,2008,edit warring,2726
79,2008,evasion,2796
80,2008,harassment,978
81,2008,legal threats,120
82,2008,long-term abuse,3
83,2008,multiple accounts,2195
84,2008,no legal threats,54
85,2008,nothere,1
86,2008,patent,633
87,2008,promotion,817
88,2008,sockpuppetry,183
89,2008,spam,8034
90,2008,three-revert,13
91,2008,vandalism,98337
92,2008,{{anonblock}},4494
93,2008,{{blocked proxy}},10595
94,2008,{{checkuserblock-account}},6
95,2008,{{rangeblock}},1
96,2008,{{school block}},29
97,2008,{{tor}},2253
98,2008,{{uw-ublock}},149
99,2008,{{uw-uhblock}},49
100,2008,{{uw-vaublock}},45
101,2009,advertising,77
102,2009,arbitration,168
103,2009,attack,3959
104,2009,biographies,359
105,2009,citing,2
106,2009,copyright,508
107,2009,disruptive editing,3705
108,2009,edit filter,356
109,2009,edit warring,2102
110,2009,evasion,3720
111,2009,harassment,47
112,2009,legal threats,12
113,2009,long-term abuse,414
114,2009,multiple accounts,15187
115,2009,no legal threats,224
116,2009,patent,184
117,2009,promotion,200
118,2009,sockpuppetry,117
119,2009,spam,15298
120,2009,three-revert,1
121,2009,vandalism,65250
122,2009,{{anonblock}},4138
123,2009,{{blocked proxy}},96044
124,2009,{{checkuserblock-account}},20
125,2009,{{tor}},1197
126,2009,{{uw-softerblock}},967
127,2009,{{uw-ublock}},2771
128,2009,{{uw-uhblock}},412
129,2009,{{uw-vaublock}},213
130,2010,advertising,69
131,2010,arbitration,102
132,2010,attack,2744
133,2010,biographies,1130
134,2010,citing,2
135,2010,copyright,340
136,2010,disruptive editing,2625
137,2010,edit filter,313
138,2010,edit warring,1018
139,2010,evasion,3308
140,2010,harassment,40
141,2010,legal threats,3
142,2010,long-term abuse,1245
143,2010,multiple accounts,9180
144,2010,no legal threats,124
145,2010,patent,1
146,2010,promotion,36
147,2010,sockpuppetry,31
148,2010,spam,9977
149,2010,three-revert,165
150,2010,vandalism,37274
151,2010,{{anonblock}},2177
152,2010,{{blocked proxy}},68750
153,2010,{{checkuserblock-account}},22
154,2010,{{tor}},983
155,2010,{{uw-softerblock}},2147
156,2010,{{uw-ublock}},1768
157,2010,{{uw-uhblock-double}},1
158,2010,{{uw-uhblock}},183
159,2010,{{uw-vaublock}},92
160,2011,advertising,84
161,2011,arbitration,113
162,2011,attack,2697
163,2011,biographies,1312
164,2011,citing,3
165,2011,copyright,457
166,2011,disruptive editing,3253
167,2011,edit filter,559
168,2011,edit warring,1281
169,2011,evasion,3869
170,2011,harassment,48
171,2011,legal threats,8
172,2011,long-term abuse,127
173,2011,multiple accounts,11560
174,2011,no legal threats,147
175,2011,patent,1
176,2011,promotion,751
177,2011,sockpuppetry,33
178,2011,spam,13622
179,2011,three-revert,339
180,2011,vandalism,35494
181,2011,{{anonblock}},3518
182,2011,{{blocked proxy}},186526
183,2011,{{checkuser block}},1
184,2011,{{checkuserblock-account}},2
185,2011,{{rangeblock}},1
186,2011,{{tor}},14043
187,2011,{{uw-causeblock}},138
188,2011,{{uw-softerblock}},1694
189,2011,{{uw-ublock-double}},1
190,2011,{{uw-ublock}},210
191,2011,{{uw-uhblock}},160
192,2011,{{uw-vaublock}},100
193,2012,advertising,67
194,2012,arbitration,85
195,2012,attack,1806
196,2012,biographies,1091
197,2012,citing,1
198,2012,copyright,375
199,2012,disruptive editing,3560
200,2012,edit filter,740
201,2012,edit warring,1194
202,2012,evasion,3005
203,2012,harassment,53
204,2012,legal threats,5
205,2012,long-term abuse,111
206,2012,multiple accounts,8734
207,2012,no legal threats,156
208,2012,nothere,5
209,2012,patent,2
210,2012,promotion,1223
211,2012,sockpuppetry,36
212,2012,spam,16866
213,2012,three-revert,269
214,2012,vandalism,27727
215,2012,{{anonblock}},5551
216,2012,{{blocked proxy}},181301
217,2012,{{checkuserblock-account}},1006
218,2012,{{tor}},9977
219,2012,{{uw-causeblock}},224
220,2012,{{uw-softerblock}},2653
221,2012,{{uw-ublock}},597
222,2012,{{uw-uhblock}},357
223,2012,{{uw-vaublock}},205
224,2012,{{webhostblock}},54
225,2013,advertising,128
226,2013,arbitration,79
227,2013,attack,1138
228,2013,biographies,725
229,2013,citing,5
230,2013,copyright,323
231,2013,disruptive editing,2983
232,2013,edit filter,191
233,2013,edit warring,1088
234,2013,evasion,2927
235,2013,harassment,40
236,2013,legal threats,3
237,2013,long-term abuse,147
238,2013,multiple accounts,7903
239,2013,no legal threats,97
240,2013,nothere,179
241,2013,patent,2
242,2013,promotion,931
243,2013,sockpuppetry,26
244,2013,spam,23928
245,2013,three-revert,286
246,2013,vandalism,24553
247,2013,{{anonblock}},6989
248,2013,{{blocked proxy}},464854
249,2013,{{checkuser block}},4
250,2013,{{checkuserblock-account}},3621
251,2013,{{colocationwebhost}},65
252,2013,{{oversightblock}},11
253,2013,{{school block}},4
254,2013,{{tor}},192
255,2013,{{uw-causeblock}},245
256,2013,{{uw-softerblock}},4061
257,2013,{{uw-ublock}},1448
258,2013,{{uw-uhblock-double}},1
259,2013,{{uw-uhblock}},625
260,2013,{{uw-vaublock}},480
261,2013,{{webhostblock}},372
262,2014,advertising,198
263,2014,arbitration,69
264,2014,attack,899
265,2014,biographies,734
266,2014,citing,76
267,2014,copyright,315
268,2014,disruptive editing,2951
269,2014,edit filter,532
270,2014,edit warring,996
271,2014,evasion,3716
272,2014,harassment,52
273,2014,legal threats,7
274,2014,long-term abuse,67
275,2014,multiple accounts,6703
276,2014,no legal threats,116
277,2014,notadvertising,2
278,2014,nothere,1894
279,2014,patent,105
280,2014,promotion,958
281,2014,sockpuppetry,67
282,2014,spam,21388
283,2014,three-revert,320
284,2014,vandalism,19889
285,2014,{{anonblock}},10186
286,2014,{{blocked proxy}},123993
287,2014,{{checkuser block}},2
288,2014,{{checkuserblock-account}},2489
289,2014,{{checkuserblock-wide}},10
290,2014,{{colocationwebhost}},37
291,2014,{{oversightblock}},21
292,2014,{{rangeblock}},9
293,2014,{{tor}},17
294,2014,{{uw-causeblock}},196
295,2014,{{uw-softerblock}},3012
296,2014,{{uw-ublock-double}},1
297,2014,{{uw-ublock}},997
298,2014,{{uw-uhblock-double}},2
299,2014,{{uw-uhblock}},1141
300,2014,{{uw-vaublock}},816
301,2014,{{webhostblock}},410
302,2015,advertising,169
303,2015,arbitration,99
304,2015,attack,1786
305,2015,biographies,1133
306,2015,citing,531
307,2015,copyright,391
308,2015,disruptive editing,4963
309,2015,edit filter,223
310,2015,edit warring,1344
311,2015,evasion,5796
312,2015,harassment,81
313,2015,legal threats,15
314,2015,long-term abuse,1151
315,2015,multiple accounts,8296
316,2015,no legal threats,127
317,2015,notadvertising,2
318,2015,nothere,1980
319,2015,patent,189
320,2015,promotion,3651
321,2015,sockpuppetry,26
322,2015,spam,23049
323,2015,three-revert,344
324,2015,vandalism,28657
325,2015,{{anonblock}},12846
326,2015,{{blocked proxy}},372946
327,2015,{{checkuser block}},821
328,2015,{{checkuserblock-account}},6564
329,2015,{{checkuserblock-wide}},91
330,2015,{{colocationwebhost}},117
331,2015,{{oversightblock}},27
332,2015,{{rangeblock}},99
333,2015,{{school block}},13413
334,2015,{{tor}},15
335,2015,{{uw-causeblock}},339
336,2015,{{uw-softerblock}},3508
337,2015,{{uw-ublock-double}},35
338,2015,{{uw-ublock}},2173
339,2015,{{uw-uhblock-double}},16
340,2015,{{uw-uhblock}},2905
341,2015,{{uw-vaublock}},756
342,2015,{{webhostblock}},759
343,2016,advertising,203
344,2016,arbitration,123
345,2016,attack,1458
346,2016,biographies,961
347,2016,citing,1284
348,2016,copyright,450
349,2016,disruptive editing,6392
350,2016,edit filter,388
351,2016,edit warring,1016
352,2016,evasion,6838
353,2016,harassment,79
354,2016,legal threats,7
355,2016,long-term abuse,1425
356,2016,multiple accounts,9307
357,2016,no legal threats,129
358,2016,notadvertising,1
359,2016,nothere,2630
360,2016,patent,207
361,2016,promotion,4676
362,2016,sockpuppetry,62
363,2016,spam,22045
364,2016,three-revert,178
365,2016,vandalism,30409
366,2016,{{anonblock}},11819
367,2016,{{blocked proxy}},317489
368,2016,{{checkuser block}},888
369,2016,{{checkuserblock-account}},7612
370,2016,{{checkuserblock-wide}},132
371,2016,{{colocationwebhost}},131
372,2016,{{oversightblock}},46
373,2016,{{rangeblock}},109
374,2016,{{school block}},14861
375,2016,{{tor}},24
376,2016,{{uw-causeblock}},312
377,2016,{{uw-softerblock}},1290
378,2016,{{uw-ublock-double}},86
379,2016,{{uw-ublock}},2351
380,2016,{{uw-uhblock-double}},1
381,2016,{{uw-uhblock}},2750
382,2016,{{uw-vaublock}},248
383,2016,{{webhostblock}},434
384,2017,advertising,154
385,2017,arbitration,72
386,2017,attack,1558
387,2017,biographies,978
388,2017,citing,1129
389,2017,copyright,379
390,2017,disruptive editing,6087
391,2017,edit filter,8301
392,2017,edit warring,994
393,2017,evasion,6004
394,2017,harassment,57
395,2017,legal threats,7
396,2017,long-term abuse,2139
397,2017,multiple accounts,10727
398,2017,no legal threats,137
399,2017,notadvertising,4
400,2017,nothere,3084
401,2017,patent,235
402,2017,promotion,4921
403,2017,sockpuppetry,41
404,2017,spam,18395
405,2017,three-revert,249
406,2017,vandalism,39360
407,2017,{{anonblock}},10958
408,2017,{{blocked proxy}},573777
409,2017,{{checkuser block}},1156
410,2017,{{checkuserblock-account}},6078
411,2017,{{checkuserblock-wide}},111
412,2017,{{colocationwebhost}},1255
413,2017,{{oversightblock}},31
414,2017,{{rangeblock}},129
415,2017,{{school block}},14180
416,2017,{{tor}},7
417,2017,{{uw-causeblock}},275
418,2017,{{uw-softerblock}},1695
419,2017,{{uw-ublock-double}},84
420,2017,{{uw-ublock}},2342
421,2017,{{uw-uhblock-double}},19
422,2017,{{uw-uhblock}},2517
423,2017,{{uw-vaublock}},192
424,2017,{{webhostblock}},542
